"Team 1";"Team 2";"Score";"Etapa"
"MAD";"ITZ";"1 - 0";"Day 1"
"PSG";"R7";"1 - 0";"Day 1"
"LGC";"ITZ";"1 - 0";"Day 1"
"LGD";"PSG";"0 - 1";"Day 1"
"TL";"MAD";"1 - 0";"Day 1"
"R7";"V3";"0 - 1";"Day 2"
"ITZ";"SUP";"0 - 1";"Day 2"
"V3";"UOL";"0 - 1";"Day 2"
"LGD";"R7";"0 - 1";"Day 2"
"UOL";"PSG";"1 - 0";"Day 2"
"SUP";"MAD";"1 - 0";"Day 2"
"TL";"LGC";"1 - 0";"Day 2"
"V3";"LGD";"0 - 1";"Day 3"
"R7";"UOL";"1 - 0";"Day 3"
"PSG";"V3";"1 - 0";"Day 3"
"UOL";"LGD";"1 - 0";"Day 3"
"SUP";"TL";"0 - 1";"Day 4"
"MAD";"LGC";"0 - 1";"Day 4"
"ITZ";"TL";"1 - 0";"Day 4"
"LGC";"SUP";"1 - 0";"Day 4"
"PSG";"UOL";"1 - 0";"Tiebreakers"
"LGD";"V3";"1 - 0";"Tiebreakers"
"ITZ";"MAD";"0 - 1";"Tiebreakers"
"LGC";"TL";"0 - 1";"Tiebreakers"
"R7";"LGD";"0 - 3";"Elimination Round"
"SUP";"MAD";"3 - 2";"Elimination Round"
"LGC";"LGD";"0 - 3";"Qualification Round"
"UOL";"SUP";"3 - 0";"Qualification Round"
"FLY";"TES";"0 - 1";"Day 1"
"UOL";"DRX";"0 - 1";"Day 1"
"RGE";"PSG";"1 - 0";"Day 1"
"DWG";"JDG";"1 - 0";"Day 1"
"GEN";"LGD";"1 - 0";"Day 1"
"TSM";"FNC";"0 - 1";"Day 1"
"MCX";"TL";"1 - 0";"Day 2"
"G2";"SN";"1 - 0";"Day 2"
"RGE";"DWG";"0 - 1";"Day 2"
"PSG";"JDG";"0 - 1";"Day 2"
"GEN";"TSM";"1 - 0";"Day 2"
"LGD";"FNC";"1 - 0";"Day 2"
"MCX";"G2";"TBD";"Day 3"
"TL";"SN";"TBD";"Day 3"
"DWG";"PSG";"TBD";"Day 3"
"JDG";"RGE";"TBD";"Day 3"
"FLY";"UOL";"TBD";"Day 3"
"TES";"DRX";"TBD";"Day 3"
"G2";"TL";"TBD";"Day 4"
"SN";"MCX";"TBD";"Day 4"
"DRX";"FLY";"TBD";"Day 4"
"TES";"UOL";"TBD";"Day 4"
"FNC";"GEN";"TBD";"Day 4"
"TSM";"LGD";"TBD";"Day 4"
"TL";"G2";"TBD";"Day 5"
"MCX";"SN";"TBD";"Day 5"
"G2";"MCX";"TBD";"Day 5"
"SN";"TL";"TBD";"Day 5"
"TL";"MCX";"TBD";"Day 5"
"SN";"G2";"TBD";"Day 5"
"PSG";"DWG";"TBD";"Day 6"
"RGE";"JDG";"TBD";"Day 6"
"DWG";"RGE";"TBD";"Day 6"
"JDG";"PSG";"TBD";"Day 6"
"PSG";"RGE";"TBD";"Day 6"
"JDG";"DWG";"TBD";"Day 6"
"FNC";"TSM";"TBD";"Day 7"
"LGD";"GEN";"TBD";"Day 7"
"TSM";"GEN";"TBD";"Day 7"
"FNC";"LGD";"TBD";"Day 7"
"LGD";"TSM";"TBD";"Day 7"
"GEN";"FNC";"TBD";"Day 7"
"FLY";"DRX";"TBD";"Day 8"
"UOL";"TES";"TBD";"Day 8"
"DRX";"UOL";"TBD";"Day 8"
"TES";"FLY";"TBD";"Day 8"
"UOL";"FLY";"TBD";"Day 8"
"DRX";"TES";"TBD";"Day 8"
"TBD";"TBD";"TBD";"Quarterfinals"
"TBD";"TBD";"TBD";"Semifinals"
"TBD";"TBD";"TBD";"Finals"
